,state,date,precipitation,region
191,BA,2013-12-31 00:00:00,"158,2",brazil
192,BA,2014-01-31 00:00:00,"48,3",brazil
193,BA,2014-02-28 00:00:00,"142,7",brazil
194,BA,2014-03-31 00:00:00,"128,8",brazil
195,BA,2014-04-30 00:00:00,"107,1",brazil
196,BA,2014-05-31 00:00:00,"247,2",brazil
197,BA,2014-06-30 00:00:00,"240,6",brazil
198,BA,2014-07-31 00:00:00,"198,9",brazil
199,BA,2014-08-31 00:00:00,"60,2",brazil
200,BA,2014-09-30 00:00:00,"92,7",brazil
201,BA,2014-10-31 00:00:00,"27,7",brazil
202,BA,2014-11-30 00:00:00,58,brazil
203,BA,2014-12-31 00:00:00,"194,2",brazil
204,BA,2015-01-31 00:00:00,"51,3",brazil
205,BA,2015-02-28 00:00:00,"89,6",brazil
206,BA,2015-03-31 00:00:00,"31,3",brazil
207,BA,2015-04-30 00:00:00,"394,2",brazil
208,BA,2015-05-31 00:00:00,639,brazil
209,BA,2015-06-30 00:00:00,"352,4",brazil
210,BA,2015-07-31 00:00:00,184,brazil
211,BA,2015-08-31 00:00:00,"87,5",brazil
212,BA,2015-09-30 00:00:00,"27,6",brazil
213,BA,2015-10-31 00:00:00,"16,6",brazil
214,BA,2015-11-30 00:00:00,"3,2",brazil
215,BA,2015-12-31 00:00:00,"15,7",brazil
216,BA,2016-01-31 00:00:00,"162,5",brazil
217,BA,2016-02-29 00:00:00,"40,5",brazil
218,BA,2016-03-31 00:00:00,"65,5",brazil
219,BA,2016-04-30 00:00:00,"68,7",brazil
220,BA,2016-05-31 00:00:00,"242,2",brazil
221,BA,2016-06-30 00:00:00,"126,2",brazil
222,BA,2016-07-31 00:00:00,"91,5",brazil
223,BA,2016-08-31 00:00:00,"180,9",brazil
224,BA,2016-09-30 00:00:00,"122,3",brazil
225,BA,2016-10-31 00:00:00,"74,7",brazil
226,BA,2016-11-30 00:00:00,"54,5",brazil
227,BA,2016-12-31 00:00:00,"53,3",brazil
228,BA,2017-01-31 00:00:00,"23,5",brazil
229,BA,2017-02-28 00:00:00,"95,8",brazil
230,BA,2017-03-31 00:00:00,"181,1",brazil
231,BA,2017-04-30 00:00:00,152,brazil
232,BA,2017-05-31 00:00:00,"324,3",brazil
233,BA,2017-06-30 00:00:00,"105,7",brazil
234,BA,2017-07-31 00:00:00,"228,4",brazil
235,BA,2017-08-31 00:00:00,67,brazil
236,BA,2017-09-30 00:00:00,"126,1",brazil
237,BA,2017-10-31 00:00:00,74,brazil
238,BA,2017-11-30 00:00:00,"77,3",brazil
239,RR,1998-01-31 00:00:00,"0,1",brazil
240,RR,1998-02-28 00:00:00,10,brazil
241,RR,1998-03-31 00:00:00,0,brazil
242,RR,1998-04-30 00:00:00,"215,1",brazil
243,RR,1998-05-31 00:00:00,"377,4",brazil
244,RR,1998-06-30 00:00:00,"569,8",brazil
245,RR,1998-07-31 00:00:00,"377,6",brazil
246,RR,1998-08-31 00:00:00,"233,1",brazil
247,RR,1998-09-30 00:00:00,"94,7",brazil
248,RR,1998-10-31 00:00:00,"22,6",brazil
249,RR,1998-11-30 00:00:00,"55,4",brazil
250,RR,1998-12-31 00:00:00,"231,7",brazil
251,RR,1999-01-31 00:00:00,"20,3",brazil
252,RR,1999-02-28 00:00:00,165,brazil
253,RR,1999-03-31 00:00:00,"23,8",brazil
254,RR,1999-04-30 00:00:00,"230,9",brazil
255,RR,1999-05-31 00:00:00,"245,4",brazil
256,RR,1999-06-30 00:00:00,"300,3",brazil
257,RR,1999-07-31 00:00:00,"243,8",brazil
258,RR,1999-08-31 00:00:00,"326,6",brazil
259,RR,1999-09-30 00:00:00,"225,3",brazil
260,RR,1999-10-31 00:00:00,"130,9",brazil
261,RR,1999-11-30 00:00:00,"46,8",brazil
262,RR,1999-12-31 00:00:00,92,brazil
263,RR,2000-01-31 00:00:00,"45,4",brazil
264,RR,2000-02-29 00:00:00,"76,4",brazil
265,RR,2000-03-31 00:00:00,71,brazil
266,RR,2000-04-30 00:00:00,"302,4",brazil
267,RR,2000-05-31 00:00:00,"415,3",brazil
268,RR,2000-06-30 00:00:00,"311,8",brazil
269,RR,2000-07-31 00:00:00,"220,1",brazil
270,RR,2000-08-31 00:00:00,"187,5",brazil
271,RR,2000-09-30 00:00:00,"76,8",brazil
272,RR,2000-10-31 00:00:00,"70,1",brazil
273,RR,2000-11-30 00:00:00,"107,5",brazil
274,RR,2000-12-31 00:00:00,"49,2",brazil
275,RR,2001-01-31 00:00:00,0,brazil
276,RR,2001-02-28 00:00:00,"0,7",brazil
277,RR,2001-03-31 00:00:00,"3,7",brazil
278,RR,2001-04-30 00:00:00,"54,6",brazil
279,RR,2001-05-31 00:00:00,"248,6",brazil
280,RR,2001-06-30 00:00:00,"214,7",brazil
281,RR,2001-07-31 00:00:00,167,brazil
282,RR,2001-08-31 00:00:00,"329,1",brazil
283,RR,2001-09-30 00:00:00,"116,1",brazil
284,RR,2001-10-31 00:00:00,"63,7",brazil
285,RR,2001-11-30 00:00:00,"43,5",brazil
286,RR,2001-12-31 00:00:00,"83,6",brazil
287,RR,2002-01-31 00:00:00,"3,5",brazil
288,RR,2002-02-28 00:00:00,"2,5",brazil
289,RR,2002-03-31 00:00:00,"27,5",brazil
290,RR,2002-04-30 00:00:00,"186,4",brazil
291,RR,2002-05-31 00:00:00,"311,5",brazil
292,RR,2002-06-30 00:00:00,"522,2",brazil
293,RR,2002-07-31 00:00:00,"261,5",brazil
294,RR,2002-08-31 00:00:00,"183,1",brazil
295,RR,2002-09-30 00:00:00,"45,7",brazil
296,RR,2002-10-31 00:00:00,"0,4",brazil
297,RR,2002-11-30 00:00:00,"29,7",brazil
298,RR,2002-12-31 00:00:00,"41,5",brazil
299,RR,2003-01-31 00:00:00,"0,8",brazil
300,RR,2003-02-28 00:00:00,6,brazil
301,RR,2003-03-31 00:00:00,"9,2",brazil
302,RR,2003-04-30 00:00:00,"128,7",brazil
303,RR,2003-05-31 00:00:00,"357,3",brazil
304,RR,2003-06-30 00:00:00,"240,4",brazil
305,RR,2003-07-31 00:00:00,"370,4",brazil
306,RR,2003-08-31 00:00:00,"211,7",brazil
307,RR,2003-09-30 00:00:00,"170,1",brazil
308,RR,2003-10-31 00:00:00,"60,5",brazil
309,RR,2003-11-30 00:00:00,"29,4",brazil
310,RR,2003-12-31 00:00:00,"21,5",brazil
311,RR,2004-01-31 00:00:00,"8,3",brazil
312,RR,2004-02-29 00:00:00,"9,9",brazil
313,RR,2004-03-31 00:00:00,"48,3",brazil
314,RR,2004-04-30 00:00:00,"182,6",brazil
315,RR,2004-05-31 00:00:00,"565,4",brazil
316,RR,2004-06-30 00:00:00,"264,7",brazil
317,RR,2004-07-31 00:00:00,"293,9",brazil
318,RR,2004-08-31 00:00:00,"181,2",brazil
319,RR,2004-09-30 00:00:00,"194,2",brazil
320,RR,2004-10-31 00:00:00,"107,4",brazil
321,RR,2004-11-30 00:00:00,"2,6",brazil
322,RR,2004-12-31 00:00:00,"2,2",brazil
323,RR,2005-01-31 00:00:00,"47,2",brazil
324,RR,2005-02-28 00:00:00,"60,9",brazil
325,RR,2005-03-31 00:00:00,"24,8",brazil
326,RR,2005-04-30 00:00:00,"378,3",brazil
327,RR,2005-05-31 00:00:00,"295,8",brazil
328,RR,2005-06-30 00:00:00,"379,9",brazil
329,RR,2005-07-31 00:00:00,"339,1",brazil
330,RR,2005-08-31 00:00:00,"363,5",brazil
331,RR,2005-09-30 00:00:00,94,brazil
332,RR,2005-10-31 00:00:00,"72,5",brazil
333,RR,2005-11-30 00:00:00,"40,1",brazil
334,RR,2005-12-31 00:00:00,"44,7",brazil
335,RR,2006-01-31 00:00:00,"209,6",brazil
336,RR,2006-02-28 00:00:00,"15,1",brazil
337,RR,2006-03-31 00:00:00,"15,8",brazil
338,RR,2006-04-30 00:00:00,"237,8",brazil
339,RR,2006-05-31 00:00:00,"640,2",brazil
340,RR,2006-06-30 00:00:00,"643,7",brazil
341,RR,2006-07-31 00:00:00,"391,6",brazil
342,RR,2006-08-31 00:00:00,"178,8",brazil
343,RR,2006-09-30 00:00:00,"72,6",brazil
344,RR,2006-10-31 00:00:00,"18,4",brazil
345,RR,2006-11-30 00:00:00,56,brazil
346,RR,2006-12-31 00:00:00,"13,1",brazil
347,RR,2007-01-31 00:00:00,"2,6",brazil
348,RR,2007-02-28 00:00:00,"1,8",brazil
349,RR,2007-03-31 00:00:00,"96,7",brazil
350,RR,2007-04-30 00:00:00,123,brazil
351,RR,2007-05-31 00:00:00,"447,9",brazil
352,RR,2007-06-30 00:00:00,"433,8",brazil
353,RR,2007-07-31 00:00:00,"344,1",brazil
354,RR,2007-08-31 00:00:00,"331,4",brazil
355,RR,2007-09-30 00:00:00,89,brazil
356,RR,2007-10-31 00:00:00,"135,8",brazil
357,RR,2007-11-30 00:00:00,"11,2",brazil
358,RR,2007-12-31 00:00:00,"95,4",brazil
359,RR,2008-01-31 00:00:00,"44,5",brazil
360,RR,2008-02-29 00:00:00,31,brazil
361,RR,2008-03-31 00:00:00,"66,8",brazil
362,RR,2008-04-30 00:00:00,"57,8",brazil
363,RR,2008-05-31 00:00:00,"378,2",brazil
364,RR,2008-06-30 00:00:00,"240,5",brazil
365,RR,2008-07-31 00:00:00,"451,8",brazil
366,RR,2008-08-31 00:00:00,"103,8",brazil
367,RR,2008-09-30 00:00:00,"136,2",brazil
368,RR,2008-10-31 00:00:00,"100,3",brazil
369,RR,2008-11-30 00:00:00,"162,4",brazil
370,RR,2008-12-31 00:00:00,"290,4",brazil
371,RR,2009-01-31 00:00:00,"99,8",brazil
372,RR,2009-02-28 00:00:00,32,brazil
373,RR,2009-03-31 00:00:00,"48,7",brazil
374,RR,2009-04-30 00:00:00,"85,2",brazil
375,RR,2009-05-31 00:00:00,"5,5",brazil
376,RR,2009-06-30 00:00:00,"394,3",brazil
377,RR,2009-07-31 00:00:00,"318,2",brazil
378,RR,2009-08-31 00:00:00,"85,4",brazil
379,RR,2009-09-30 00:00:00,"10,2",brazil
380,RR,2009-10-31 00:00:00,55,brazil
381,RR,2009-11-30 00:00:00,"22,2",brazil
382,RR,2009-12-31 00:00:00,"69,6",brazil
383,RR,2010-01-31 00:00:00,"18,8",brazil
384,RR,2010-02-28 00:00:00,"69,4",brazil
385,RR,2010-03-31 00:00:00,"39,2",brazil
386,RR,2010-04-30 00:00:00,"258,7",brazil
387,RR,2010-05-31 00:00:00,"433,4",brazil
388,RR,2010-06-30 00:00:00,"259,5",brazil
389,RR,2010-07-31 00:00:00,292,brazil
390,RR,2010-08-31 00:00:00,"231,8",brazil
391,RR,2010-09-30 00:00:00,120,brazil
392,RR,2010-10-31 00:00:00,"48,2",brazil
393,RR,2010-11-30 00:00:00,"125,7",brazil
394,RR,2010-12-31 00:00:00,"127,1",brazil
