,state,kg,date,region
267,RO,47115894,2020-03-01 00:00:00,brazil
268,MT,297613,2020-04-01 00:00:00,brazil
269,PR,42114010,2020-04-01 00:00:00,brazil
270,SC,4339648,2020-04-01 00:00:00,brazil
271,RO,925880,2020-03-01 00:00:00,brazil
272,PA,13083357,2020-04-01 00:00:00,brazil
273,SP,10139212,2020-02-01 00:00:00,brazil
274,SP,9326254,2020-02-01 00:00:00,brazil
275,BA,11295487,2020-04-01 00:00:00,brazil
276,RO,100000,2020-02-01 00:00:00,brazil
277,SC,12500479,2020-02-01 00:00:00,brazil
278,PA,99427,2020-02-01 00:00:00,brazil
279,MT,106146310,2020-02-01 00:00:00,brazil
280,MT,39231096,2020-03-01 00:00:00,brazil
281,GO,27238704,2020-02-01 00:00:00,brazil
282,MT,33037230,2020-03-01 00:00:00,brazil
283,MS,240302525,2020-03-01 00:00:00,brazil
284,PR,610044599,2020-02-01 00:00:00,brazil
285,GO,53937412,2020-01-01 00:00:00,brazil
286,MT,48160000,2020-01-01 00:00:00,brazil
287,MT,301588,2020-04-01 00:00:00,brazil
288,MS,69414197,2020-04-01 00:00:00,brazil
289,MT,1341772904,2020-02-01 00:00:00,brazil
290,SC,176653557,2020-03-01 00:00:00,brazil
291,SP,598949,2020-04-01 00:00:00,brazil
292,MT,72545074,2020-04-01 00:00:00,brazil
293,TO,250825373,2020-03-01 00:00:00,brazil
294,MT,41000000,2020-03-01 00:00:00,brazil
295,GO,880555,2020-01-01 00:00:00,brazil
296,RS,2382919,2020-03-01 00:00:00,brazil
297,RS,141398490,2020-01-01 00:00:00,brazil
298,ND,34000000,2020-04-01 00:00:00,brazil
299,BA,9000000,2020-01-01 00:00:00,brazil
300,MT,18623680,2020-03-01 00:00:00,brazil
301,ND,32880158,2020-02-01 00:00:00,brazil
302,GO,8427626,2020-02-01 00:00:00,brazil
303,PA,171154,2020-04-01 00:00:00,brazil
304,RS,1072203,2020-03-01 00:00:00,brazil
305,RR,30000,2020-03-01 00:00:00,brazil
306,MS,22157345,2020-04-01 00:00:00,brazil
307,MT,23944110,2020-04-01 00:00:00,brazil
308,PR,459510,2020-04-01 00:00:00,brazil
309,MT,36152758,2020-03-01 00:00:00,brazil
310,RS,407785,2020-04-01 00:00:00,brazil
311,PI,1650000,2020-03-01 00:00:00,brazil
312,MT,77563,2020-02-01 00:00:00,brazil
313,MT,263823,2020-03-01 00:00:00,brazil
314,MT,1761348,2020-04-01 00:00:00,brazil
315,TO,1000000,2020-01-01 00:00:00,brazil
316,ND,2000000,2020-04-01 00:00:00,brazil
317,PR,1302929,2020-04-01 00:00:00,brazil
318,SC,1029399,2020-02-01 00:00:00,brazil
319,TO,2281173,2020-04-01 00:00:00,brazil
320,SC,14554252,2020-04-01 00:00:00,brazil
321,SP,210106099,2020-02-01 00:00:00,brazil
322,PA,480055,2020-03-01 00:00:00,brazil
323,MT,78900272,2020-03-01 00:00:00,brazil
324,MT,295906959,2020-03-01 00:00:00,brazil
325,MT,45000000,2020-04-01 00:00:00,brazil
326,ND,840933515,2020-04-01 00:00:00,brazil
327,MT,48807206,2020-04-01 00:00:00,brazil
328,MT,2549030,2020-04-01 00:00:00,brazil
329,PR,24711342,2020-04-01 00:00:00,brazil
330,PI,2824,2020-01-01 00:00:00,brazil
331,DF,172859,2020-03-01 00:00:00,brazil
332,MG,445478,2020-01-01 00:00:00,brazil
333,RS,6905335,2020-04-01 00:00:00,brazil
334,PR,54591178,2020-03-01 00:00:00,brazil
335,GO,16000000,2020-02-01 00:00:00,brazil
336,PR,11108617,2020-04-01 00:00:00,brazil
337,BA,299654,2020-02-01 00:00:00,brazil
338,DF,5669,2020-03-01 00:00:00,brazil
339,SP,4572039,2020-04-01 00:00:00,brazil
340,SP,43805603,2020-04-01 00:00:00,brazil
341,SP,12117661,2020-04-01 00:00:00,brazil
342,RS,348636,2020-03-01 00:00:00,brazil
343,PA,31410657,2020-04-01 00:00:00,brazil
344,BA,1930664,2020-03-01 00:00:00,brazil
345,PR,8697556,2020-03-01 00:00:00,brazil
346,PI,2610000,2020-01-01 00:00:00,brazil
347,SC,563270,2020-03-01 00:00:00,brazil
348,MG,53398626,2020-02-01 00:00:00,brazil
349,MT,69998476,2020-03-01 00:00:00,brazil
350,PR,1104767132,2020-04-01 00:00:00,brazil
351,MG,277868017,2020-04-01 00:00:00,brazil
352,PR,1166297,2020-02-01 00:00:00,brazil
353,MT,1150609719,2020-03-01 00:00:00,brazil
354,MS,20809123,2020-04-01 00:00:00,brazil
355,MA,1453800,2020-04-01 00:00:00,brazil
356,ND,1875955024,2020-04-01 00:00:00,brazil
357,SP,24238619,2020-04-01 00:00:00,brazil
358,RO,17316317,2020-03-01 00:00:00,brazil
359,MA,73606194,2020-01-01 00:00:00,brazil
360,PA,58522437,2020-03-01 00:00:00,brazil
361,MT,32000000,2020-02-01 00:00:00,brazil
362,MT,12915980,2020-04-01 00:00:00,brazil
363,RS,7826810,2020-04-01 00:00:00,brazil
364,PR,250226808,2020-01-01 00:00:00,brazil
365,RR,104650,2020-02-01 00:00:00,brazil
366,MS,7434644,2020-04-01 00:00:00,brazil
367,ND,17550000,2020-04-01 00:00:00,brazil
368,PR,25000,2020-04-01 00:00:00,brazil
369,GO,2191660,2020-04-01 00:00:00,brazil
370,MA,7705746,2020-01-01 00:00:00,brazil
371,MT,13889471,2020-04-01 00:00:00,brazil
372,MT,2883499,2020-04-01 00:00:00,brazil
373,AC,344680,2020-03-01 00:00:00,brazil
374,SP,3964123,2020-03-01 00:00:00,brazil
375,RO,6082276,2020-02-01 00:00:00,brazil
376,RO,3961516,2020-02-01 00:00:00,brazil
377,SP,1,2020-01-01 00:00:00,brazil
378,MS,202,2020-04-01 00:00:00,brazil
379,MT,30813,2020-01-01 00:00:00,brazil
380,PI,12100000,2020-04-01 00:00:00,brazil
381,RS,381490,2020-04-01 00:00:00,brazil
382,GO,153696,2020-01-01 00:00:00,brazil
383,SC,3415497,2020-03-01 00:00:00,brazil
384,SP,760425618,2020-03-01 00:00:00,brazil
385,MT,38750632,2020-04-01 00:00:00,brazil
386,MT,42000000,2020-04-01 00:00:00,brazil
387,PA,13395181,2020-04-01 00:00:00,brazil
388,MT,13101544,2020-04-01 00:00:00,brazil
389,PR,69831768,2020-04-01 00:00:00,brazil
390,RO,11166008,2020-02-01 00:00:00,brazil
391,TO,21693966,2020-03-01 00:00:00,brazil
392,SP,605651640,2020-04-01 00:00:00,brazil
393,SP,4933556,2020-04-01 00:00:00,brazil
394,DF,750614,2020-04-01 00:00:00,brazil
395,RO,19194884,2020-03-01 00:00:00,brazil
396,SP,6499449,2020-03-01 00:00:00,brazil
397,MT,33079100,2020-02-01 00:00:00,brazil
398,PA,1742747,2020-01-01 00:00:00,brazil
399,PA,311008,2020-04-01 00:00:00,brazil
400,MG,30677868,2020-04-01 00:00:00,brazil
401,RO,500000,2020-02-01 00:00:00,brazil
402,MS,24815803,2020-03-01 00:00:00,brazil
403,SP,500,2020-03-01 00:00:00,brazil
404,MA,7008452,2020-03-01 00:00:00,brazil
405,RO,3749353,2020-03-01 00:00:00,brazil
406,ND,28000000,2020-04-01 00:00:00,brazil
407,GO,16895014,2020-04-01 00:00:00,brazil
408,SP,3043657,2020-01-01 00:00:00,brazil
409,MT,31910111,2020-01-01 00:00:00,brazil
410,PR,209680,2020-04-01 00:00:00,brazil
411,MS,43352890,2020-03-01 00:00:00,brazil
412,TO,4980000,2020-03-01 00:00:00,brazil
413,MT,24730595,2020-02-01 00:00:00,brazil
414,MT,42778511,2020-04-01 00:00:00,brazil
415,PR,80000,2020-03-01 00:00:00,brazil
416,MT,2053487,2020-04-01 00:00:00,brazil
